id;name;status
1;Affärsmodell;0
2;Affärsmodeller;0
3;Affärsnytta;0
4;Affärsutveckling;0
5;Artificiell intelligens;0
6;Automation;0
7;Automatiserade fordon;0
8;Automatisering;0
9;Bedömning;0
10;Behovsstyrd innovation;0
11;Bioekonomi;0
12;Biologiska läkemedel;0
13;Cirkulär ekonomi;0
14;Cyklism;0
15;Data;0
16;Demonstration;0
17;Diagnos;0
18;Digital;0
19;Digitalisering;0
20;ECSEL;0
21;Effektivisering;0
22;Effektivitet;0
23;Elektronik;0
24;Flygteknik;0
25;Fordon;0
26;Fordonsindustrin;0
27;Fordonskomponenter;0
28;Fotonik;0
29;Följeforskning;0
30;Förstudier;0
31;Genomförbarhetsstudie;0
32;Grafen;0
33;Gruvsektor;0
34;Hållbarhet;0
35;Hälsa;0
36;Idéslussar;0
37;Immateriella tillgångar;0
38;Implementering;0
39;Inbyggda system;0
40;Industri;0
41;Industriell digitalisering;0
42;Informations- och kommunikationsteknologi;0
43;Infrastruktur;0
44;Inkubationsstöd;0
45;Inkubatorer;0
46;Innovationsmiljöer;0
47;Innovationstävlingar;0
48;Integration;0
49;Integritet;0
50;Intelligenta fordon;0
51;IT;0
52;It-säkerhet;0
53;Klinisk forskning;0
54;Kommunikation;0
55;Kompetensutveckling;0
56;Koordinator;0
57;Labb;0
58;Ledarskap;0
59;Livsmedel;0
60;Lättvikt;0
61;Maskininlärning;0
62;Mat;0
63;Material;0
64;Medarbetare;0
65;Media;0
66;Medicinsk teknik;0
67;Medicinteknik;0
68;Metall;0
69;Metoder;0
70;Metodutveckling;0
71;Miljö;0
72;Miljöteknik;0
73;Mineralutvinning;0
74;Mjukvara;0
75;Mobilitet;0
76;Mode;0
77;Nollvisionen;0
78;Offentlig verksamhet;0
79;Organisation;0
80;Policyutveckling;0
81;Processindustri;0
82;Produktion;0
83;Projektansökan;0
84;Proteinforskning;0
85;Prototyp;0
86;Resebidrag;0
87;Samhällsbyggnad;0
88;Samhällsnytta;0
89;Samhällsproblem;0
90;Samhällsutmaning;0
91;Samverkan;0
92;Smarta system;0
93;Små företag;0
94;Socialt behov;0
95;Stödorganisationer;0
96;Test;0
97;Testa;0
98;Testbäddar;0
99;Tillverkning;0
100;Tillverkningsindustrin;0
101;Tillväxtföretag;0
102;Tillväxtregioner;0
103;Tjänster;0
104;Trafiksäkerhet;0
105;Transport;0
106;Transportinfrastruktur;0
107;Transportsystem;0
108;Underhåll;0
109;Unga företag;0
110;Uppfinnare;0
111;Utbildning;0
112;Utveckling;0
113;Utvecklingssamarbete;0
114;Varor;0
115;Verklighetslabb;0
116;Verksamhetsutveckling;0
