id;name;description;address;phone;email;url;is_crawled;status
1;Vinnova;;Mäster Samuelsgatan 56, 101 58 Stockholm, Sweden;+46 8 473 30 00;vinnova@vinnova.se;https://www.vinnova.se/;true;0
2;Almi;Almis vision är att skapa möjligheter för alla bärkraftiga idéer och företag att utvecklas. Vi erbjuder rådgivning, lån och riskkapital i företagandets alla faser – från idéer till framgångsrika företag. Det omfattar såväl idéer med tillväxtpotential i tidiga faser som befintliga företag som satsar på tillväxt och expansion. Almi Företagspartner AB ägs av staten och är moderbolag i en koncern med 16 regionala dotterbolag, Almi Invest AB och IFS Rådgivning AB. Vi finns nära kunderna med 40 kontor över hela landet.;;0771-55 85 00;info.lanadm@almi.se;https://www.almi.se/;false;0
3;Internetfonden;Hos Internetfonden kan du ansöka om finansiering för fristående projekt som främjar internetutvecklingen i Sverige. Har du en bra idé? Kul, välkommen med en ansökan under någon av våra ansökningsomgångar! Internetfonden har två allmänna ansökningsomgångar per år där alla är välkomna att söka pengar. Vi har också pengar öronmärkta för satsningar inom vissa utpekade fokusområden.;;;staffan.hagnell@iis.se;https://www.internetfonden.se/;false;0
4;Konstnärsnämnden;Konstnärsnämnden är en statlig myndighet under Kulturdepartementet. Den övergripande uppgiften är att främja möjligheter för konstnärer att vidareutveckla sitt konstnärskap, att främja konstnärlig utveckling och stödja nyskapande kultur. Myndigheten ska också analysera och sprida kunskap om konstnärernas ekonomiska och sociala villkor och bevaka trygghetssystemens utformning och tillämpning i förhållande till konstnärlig verksamhet.;;;rickard.carlsson@konstnarsnamnden.se;https://www.konstnarsnamnden.se/Stipendier;false;0
5;Nordiskt samarbete;Det nordiska samarbetet är både politiskt, ekonomiskt och kulturellt förankrat, och är en viktig medspelare i det europeiska och internationella samarbetet. Den nordiska gemenskapen arbetar för ett förstärkt Norden i världen. Det nordiska samarbetet syftar till att förstärka nordiska och regionala intressen och värderingar i en global värld. Gemensamma värderingar mellan länderna bidrar till att förstärka Nordens position som en av världens mest innovativa och konkurrenskraftiga regioner.;;+45 2969 2910;alfkro@norden.org;https://www.norden.org/sv/om-samarbejdet-1/bidrag-och-utlysningar/alla-utlysningar-och-upphandlingar;false;0
6;SSF;Stiftelsen för Strategisk Forskning, SSF, finansierar forskning inom naturvetenskap, teknik och medicin med ungefär 600 miljoner kronor om året. SSF är en fri, oberoende aktör inom det offentliga forskningsfinansieringssystemet.;;+46 (0)8 - 505 816 00;info@stratresearch.se;http://stratresearch.se/utlysning/;false;0
7;Tillväxtverket;;;08-681 91 00;tillvaxtverket@tillvaxtverket.se;https://tillvaxtverket.se/;true;0
8;Formas;;Drottninggatan 89, Box 1206, 111 82 Stockholm;08-775 40 00;registrator@formas.se;http://formas.se/;true;0
9;EU (H2020);;;+32 2 299 96 96;;http://ec.europa.eu/;true;0
10;ESF;Europeiska socialfonden, ESF, är Europeiska unionens viktigaste finansiella instrument för att stödja sysselsättningen i medlemsstaterna och främja den ekonomiska och sociala sammanhållningen. Europeiska socialfondens utgifter uppgår till ungefär 10 % av EU:s totala budget. ESF är en av EU:s strukturfonder, vars syfte är att förbättra den sociala sammanhållningen och det ekonomiska välståndet i unionens samtliga regioner. Strukturfonderna är omfördelande finansiella instrument som stöttar sammanhållningen inom Europa genom att koncentrera ekonomiskt stöd till mindre utvecklade regioner. Huvudsyftet med ESF-medlen är att bidra till skapandet av fler och bättre jobb inom EU. Detta sker genom medfinansiering av nationella, regionala och lokala projekt som ökar sysselsättningsgraden, förbättrar kvaliteten på jobben och ökar integrationen på arbetsmarknaden i medlemsstaterna och deras regioner.;Box 47141, 100 74 Stockholm;020-33 33 90;esf@esf.se;http://www.esf.se/Vara-fonder/Socialfonden1/Utlysningar/;false;0
11;Naturvårdsverket;Naturvårdsverket är en statlig myndighet för miljöfrågor. Vi arbetar på uppdrag av den svenska regeringen med miljöfrågor inom Sverige, inom EU och internationellt. Naturvårdsverket har en central roll i miljöarbetet och arbetar pådrivande, stödjande och samlande vid genomförandet av miljöpolitiken.;Box 47141, 100 74 Stockholm;020-33 33 90;esf@esf.se;http://www.naturvardsverket.se/Stod-i-miljoarbetet/For-forskare-och-granskare/;false;0
12;Jordbruksverket;Jordbruksverket är regeringens expert- och förvaltningsmyndighet inom jordbruk, fiske och landsbygdsutveckling. Maten, djuren, miljön och klimatet är frågor som berör alla.;Box 47141, 100 74 Stockholm;020-33 33 90;esf@esf.se;http://www.jordbruksverket.se/amnesomraden/stod.4.5abb9acc11c89b20e9e8000401.html;false;0
13;Energimyndigheten;;Box 47141, 100 74 Stockholm;020-33 33 90;esf@esf.se;http://www.energimyndigheten.se/;true;0
